t,obs,action,reward,seed
0,5.7802777,0.282303,21.014595,0
1,6.622205,0.282303,16.598694,0
2,2.923656,0.19757885,14.297357,0
3,3.0106282,0.10485628,8.111186,0
4,0.1386314,0.054361127,2.526654,0
5,0.105586596,0.0017653751,1.9265145,0
6,0.0043438952,0.0021762287,0.08053565,0
7,0.00032139893,0.000115715906,0.007657428,0
8,0.00018244403,4.7746144e-06,0.004133774,0
9,1.5764432e-05,2.968383e-06,0.00035029682,0
10,5.2007687e-07,2.9604956e-07,1.12381795e-05,0
11,3.3977248e-09,1.1255376e-08,6.347605e-08,0
12,1.212287e-09,1.1816033e-10,2.8032204e-08,0
13,1.1267657e-09,1.9311547e-11,2.528241e-08,0
14,8.6559643e-10,1.9638726e-11,1.9452308e-08,0
15,1.1482287e-09,1.5483687e-11,2.5732213e-08,0
16,1.1009423e-09,1.9956219e-11,2.4858174e-08,0
17,8.654843e-10,1.9170856e-11,1.9452324e-08,0
18,8.5230667e-10,1.5485141e-11,1.9163256e-08,0
19,8.5014734e-10,1.5042795e-11,1.9138309e-08,0
20,8.42749e-10,1.491529e-11,1.8869226e-08,0
21,8.42749e-10,1.4818478e-11,1.8869226e-08,0
22,8.42749e-10,1.4818478e-11,1.8869226e-08,0
23,8.42749e-10,1.4818478e-11,1.8869226e-08,0
24,8.42749e-10,1.4818478e-11,1.8869226e-08,0
25,8.42749e-10,1.4818478e-11,1.8869226e-08,0
26,8.42749e-10,1.4818478e-11,1.8869226e-08,0
27,8.42749e-10,1.4818478e-11,1.8869226e-08,0
28,8.42749e-10,1.4818478e-11,1.8869226e-08,0
29,8.42749e-10,1.4818478e-11,1.8869226e-08,0
30,8.42749e-10,1.4818478e-11,1.8869226e-08,0
31,8.42749e-10,1.4818478e-11,1.8869226e-08,0
32,8.42749e-10,1.4818478e-11,1.8869226e-08,0
33,8.42749e-10,1.4818478e-11,1.8869226e-08,0
34,8.42749e-10,1.4818478e-11,1.8869226e-08,0
35,8.42749e-10,1.4818478e-11,1.8869226e-08,0
36,8.42749e-10,1.4818478e-11,1.8869226e-08,0
37,8.42749e-10,1.4818478e-11,1.8869226e-08,0
38,8.42749e-10,1.4818478e-11,1.8869226e-08,0
39,8.42749e-10,1.4818478e-11,1.8869226e-08,0
40,8.42749e-10,1.4818478e-11,1.8869226e-08,0
41,8.42749e-10,1.4818478e-11,1.8869226e-08,0
42,8.42749e-10,1.4818478e-11,1.8869226e-08,0
43,8.42749e-10,1.4818478e-11,1.8869226e-08,0
44,8.42749e-10,1.4818478e-11,1.8869226e-08,0
45,8.42749e-10,1.4818478e-11,1.8869226e-08,0
46,8.42749e-10,1.4818478e-11,1.8869226e-08,0
47,8.42749e-10,1.4818478e-11,1.8869226e-08,0
48,8.42749e-10,1.4818478e-11,1.8869226e-08,0
49,8.42749e-10,1.4818478e-11,1.8869226e-08,0
50,8.42749e-10,1.4818478e-11,1.8869226e-08,0
51,8.42749e-10,1.4818478e-11,1.8869226e-08,0
52,8.42749e-10,1.4818478e-11,1.8869226e-08,0
53,8.42749e-10,1.4818478e-11,1.8869226e-08,0
54,8.42749e-10,1.4818478e-11,1.8869226e-08,0
55,8.42749e-10,1.4818478e-11,1.8869226e-08,0
56,8.42749e-10,1.4818478e-11,1.8869226e-08,0
57,8.42749e-10,1.4818478e-11,1.8869226e-08,0
58,8.42749e-10,1.4818478e-11,1.8869226e-08,0
59,8.42749e-10,1.4818478e-11,1.8869226e-08,0
60,8.42749e-10,1.4818478e-11,1.8869226e-08,0
61,8.42749e-10,1.4818478e-11,1.8869226e-08,0
62,8.42749e-10,1.4818478e-11,1.8869226e-08,0
63,8.42749e-10,1.4818478e-11,1.8869226e-08,0
64,8.42749e-10,1.4818478e-11,1.8869226e-08,0
65,8.42749e-10,1.4818478e-11,1.8869226e-08,0
66,8.42749e-10,1.4818478e-11,1.8869226e-08,0
67,8.42749e-10,1.4818478e-11,1.8869226e-08,0
68,8.42749e-10,1.4818478e-11,1.8869226e-08,0
69,8.42749e-10,1.4818478e-11,1.8869226e-08,0
70,8.42749e-10,1.4818478e-11,1.8869226e-08,0
71,8.42749e-10,1.4818478e-11,1.8869226e-08,0
72,8.42749e-10,1.4818478e-11,1.8869226e-08,0
73,8.42749e-10,1.4818478e-11,1.8869226e-08,0
74,8.42749e-10,1.4818478e-11,1.8869226e-08,0
75,8.42749e-10,1.4818478e-11,1.8869226e-08,0
76,8.42749e-10,1.4818478e-11,1.8869226e-08,0
77,8.42749e-10,1.4818478e-11,1.8869226e-08,0
78,8.42749e-10,1.4818478e-11,1.8869226e-08,0
79,8.42749e-10,1.4818478e-11,1.8869226e-08,0
80,8.42749e-10,1.4818478e-11,1.8869226e-08,0
81,8.42749e-10,1.4818478e-11,1.8869226e-08,0
82,8.42749e-10,1.4818478e-11,1.8869226e-08,0
83,8.42749e-10,1.4818478e-11,1.8869226e-08,0
84,8.42749e-10,1.4818478e-11,1.8869226e-08,0
85,8.42749e-10,1.4818478e-11,1.8869226e-08,0
86,8.42749e-10,1.4818478e-11,1.8869226e-08,0
87,8.42749e-10,1.4818478e-11,1.8869226e-08,0
88,8.42749e-10,1.4818478e-11,1.8869226e-08,0
89,8.42749e-10,1.4818478e-11,1.8869226e-08,0
90,8.42749e-10,1.4818478e-11,1.8869226e-08,0
91,8.42749e-10,1.4818478e-11,1.8869226e-08,0
92,8.42749e-10,1.4818478e-11,1.8869226e-08,0
93,8.42749e-10,1.4818478e-11,1.8869226e-08,0
94,8.42749e-10,1.4818478e-11,1.8869226e-08,0
95,8.42749e-10,1.4818478e-11,1.8869226e-08,0
96,8.42749e-10,1.4818478e-11,1.8869226e-08,0
97,8.42749e-10,1.4818478e-11,1.8869226e-08,0
98,8.42749e-10,1.4818478e-11,1.8869226e-08,0
99,8.42749e-10,1.4818478e-11,1.8869226e-08,0
100,8.42749e-10,1.4818478e-11,1.8869226e-08,0
101,8.42749e-10,1.4818478e-11,1.8869226e-08,0
102,8.42749e-10,1.4818478e-11,1.8869226e-08,0
103,8.42749e-10,1.4818478e-11,1.8869226e-08,0
104,8.42749e-10,1.4818478e-11,1.8869226e-08,0
105,8.42749e-10,1.4818478e-11,1.8869226e-08,0
106,8.42749e-10,1.4818478e-11,1.8869226e-08,0
107,8.42749e-10,1.4818478e-11,1.8869226e-08,0
108,8.42749e-10,1.4818478e-11,1.8869226e-08,0
109,8.42749e-10,1.4818478e-11,1.8869226e-08,0
110,8.42749e-10,1.4818478e-11,1.8869226e-08,0
111,8.42749e-10,1.4818478e-11,1.8869226e-08,0
112,8.42749e-10,1.4818478e-11,1.8869226e-08,0
113,8.42749e-10,1.4818478e-11,1.8869226e-08,0
114,8.42749e-10,1.4818478e-11,1.8869226e-08,0
115,8.42749e-10,1.4818478e-11,1.8869226e-08,0
116,8.42749e-10,1.4818478e-11,1.8869226e-08,0
117,8.42749e-10,1.4818478e-11,1.8869226e-08,0
118,8.42749e-10,1.4818478e-11,1.8869226e-08,0
119,8.42749e-10,1.4818478e-11,1.8869226e-08,0
120,8.42749e-10,1.4818478e-11,1.8869226e-08,0
121,8.42749e-10,1.4818478e-11,1.8869226e-08,0
122,8.42749e-10,1.4818478e-11,1.8869226e-08,0
123,8.42749e-10,1.4818478e-11,1.8869226e-08,0
124,8.42749e-10,1.4818478e-11,1.8869226e-08,0
125,8.42749e-10,1.4818478e-11,1.8869226e-08,0
126,8.42749e-10,1.4818478e-11,1.8869226e-08,0
127,8.42749e-10,1.4818478e-11,1.8869226e-08,0
128,8.42749e-10,1.4818478e-11,1.8869226e-08,0
129,8.42749e-10,1.4818478e-11,1.8869226e-08,0
130,8.42749e-10,1.4818478e-11,1.8869226e-08,0
131,8.42749e-10,1.4818478e-11,1.8869226e-08,0
132,8.42749e-10,1.4818478e-11,1.8869226e-08,0
133,8.42749e-10,1.4818478e-11,1.8869226e-08,0
134,8.42749e-10,1.4818478e-11,1.8869226e-08,0
135,8.42749e-10,1.4818478e-11,1.8869226e-08,0
136,8.42749e-10,1.4818478e-11,1.8869226e-08,0
137,8.42749e-10,1.4818478e-11,1.8869226e-08,0
138,8.42749e-10,1.4818478e-11,1.8869226e-08,0
139,8.42749e-10,1.4818478e-11,1.8869226e-08,0
140,8.42749e-10,1.4818478e-11,1.8869226e-08,0
141,8.42749e-10,1.4818478e-11,1.8869226e-08,0
142,8.42749e-10,1.4818478e-11,1.8869226e-08,0
143,8.42749e-10,1.4818478e-11,1.8869226e-08,0
144,8.42749e-10,1.4818478e-11,1.8869226e-08,0
145,8.42749e-10,1.4818478e-11,1.8869226e-08,0
146,8.42749e-10,1.4818478e-11,1.8869226e-08,0
147,8.42749e-10,1.4818478e-11,1.8869226e-08,0
148,8.42749e-10,1.4818478e-11,1.8869226e-08,0
149,8.42749e-10,1.4818478e-11,1.8869226e-08,0
150,8.42749e-10,1.4818478e-11,1.8869226e-08,0
151,8.42749e-10,1.4818478e-11,1.8869226e-08,0
152,8.42749e-10,1.4818478e-11,1.8869226e-08,0
153,8.42749e-10,1.4818478e-11,1.8869226e-08,0
154,8.42749e-10,1.4818478e-11,1.8869226e-08,0
155,8.42749e-10,1.4818478e-11,1.8869226e-08,0
156,8.42749e-10,1.4818478e-11,1.8869226e-08,0
157,8.42749e-10,1.4818478e-11,1.8869226e-08,0
158,8.42749e-10,1.4818478e-11,1.8869226e-08,0
159,8.42749e-10,1.4818478e-11,1.8869226e-08,0
160,8.42749e-10,1.4818478e-11,1.8869226e-08,0
161,8.42749e-10,1.4818478e-11,1.8869226e-08,0
162,8.42749e-10,1.4818478e-11,1.8869226e-08,0
163,8.42749e-10,1.4818478e-11,1.8869226e-08,0
164,8.42749e-10,1.4818478e-11,1.8869226e-08,0
165,8.42749e-10,1.4818478e-11,1.8869226e-08,0
166,8.42749e-10,1.4818478e-11,1.8869226e-08,0
167,8.42749e-10,1.4818478e-11,1.8869226e-08,0
